label,avg_calories_kcal,portion_notes
pumpkin soup,71.0,1 cup (245 g)
quattro formaggi pizza,330.0,1 slice (133 g)
quince,52.0,1 quince (92 g)
quinoa,626.0,1 cup (170 g)
radishes,1.0,1 radish (4.5 g)
raisins,434.0,1 cup (145 g)
rambutan,7.0,1 rambutan (9 g)
ramen,380.0,"1 package, dry (85 g)"
raspberries,64.0,1 cup (123 g)
ravioli,134.0,5 ravioli (66 g)
red cabbage,7.0,1 leaf (22 g)
red pepper pizza,165.0,1 slice (86 g)
reuben sandwich,641.0,1 sandwich (308 g)
rhubarb,11.0,1 stalk (51 g)
rice bran oil,124.0,1 tbsp (14 ml)
rigatoni,198.0,2 oz. (56 g)
roast beef,23.0,1 slice (21 g)
roast dinner,240.0,1 slice (121 g)
rocky road ice cream,290.0,1 scoop (113 g)
rotini,198.0,2 oz. (56 g)
rusk,41.0,1 rusk (10 g)
rutabaga,147.0,1 rutabaga (386 g)
rye bran,422.0,1 cup (150 g)
safflower oil,120.0,1 tbsp (14 ml)
sago,99.0,1 oz. (28 g)
salami pizza,181.0,1 slice (71 g)
salmon oil,128.0,1 tbsp (14 ml)
samosa,107.0,1 samosa (50 g)
sapodilla,141.0,1 sapodilla (170 g)
sausage pizza,177.0,1 slice (72 g)
sausage roll,361.0,1 roll (103 g)
sausage rolls,101.0,1 roll (34 g)
savoury biscuits,139.0,40 grams (40 g)
schwan’s,177.0,1 scoop (72 g)
scotch broth,80.0,1 cup (241 g)
seafood pizza,186.0,1 slice (76 g)
sesame oil,124.0,1 tbsp (14 ml)
shallots,18.0,1 shallot (25 g)
shea oil,124.0,1 tbsp (14 ml)
shells,300.0,1 cup (85 g)
shepherds pie,159.0,1 pie (227 g)
shirataki noodles,10.0,2 oz. (56 g)
shortbread,95.0,1 cookie (19 g)
shrimp cocktail,130.0,1 oz. (28 g)
shrimp pizza,190.0,1 slice (91 g)
sicilian pizza,321.0,1 slice (133 g)
sloppy joe,101.0,1/2 cup (142 g)
sloppy joes,397.0,1 bun (258 g)
smarties mcflurry,400.0,1 mcflurry (202 g)
smoked salmon,44.0,1 oz. (28.35 g)
snickers ice cream,180.0,1 bar (50 g)
soft serve,191.0,1 cup (86 g)
solero,75.0,1 solero (75 g)
soursop fruit,413.0,1 soursop fruit (625 g)
soy noodles,121.0,2 oz. (56 g)
soy oil,123.0,1 tbsp (14 ml)
spaetzle,206.0,2 oz. (56 g)
spaghetti,207.0,2 oz. (56 g)
spaghetti bolognese,374.0,1 serving (283 g)
spelt,588.0,1 cup (174 g)
spelt bran,283.0,1 cup (160 g)
spelt semolina,601.0,1 cup (167 g)
spicy italian,480.0,1 sandwich (219 g)
spinach,78.0,1 bunch (340 g)
spinach feta pizza,150.0,1 slice (62 g)
spinach pizza,145.0,1 slice (62 g)
spinach tortellini,320.0,1 cup (102 g)
spirelli,206.0,2 oz. (56 g)
spring roll,350.0,1 roll (140 g)
spring rolls,350.0,1 roll (140 g)
squash,88.0,1 squash (196 g)
star fruit,28.0,1 starfruit (91 g)
starfruit,28.0,1 star fruit (91 g)
strawberries,49.0,1 cup (152 g)
strawberry ice cream,170.0,1 scoop (72 g)
strawberry sundae,281.0,1 sundae (178 g)
stuffed crust pizza,380.0,1 slice (149 g)
subway club sandwich,312.0,1 sandwich (238 g)
succotash,221.0,1 cup (192 g)
sundae,155.0,1 scoop (72 g)
sunflower oil,124.0,1 tbsp (14 ml)
sunflower seeds,818.0,1 cup (140 g)
sweet potato,112.0,1 potato (130 g)
taco,213.0,1 taco (98 g)
tagliatelle,207.0,2 oz. (56 g)
tamarind,5.0,1 tamarind (2 g)
tandoori chicken,198.0,1 serving (175 g)
tangerine,47.0,1 tangerine (88 g)
tarte flambée,142.0,1 square (56 g)
thai soup,147.0,1 cup (245 g)
thin crust pizza,157.0,1 slice (60 g)
tomato,20.0,1 tomato (111 g)
tomato rice soup,116.0,1 cup (247 g)
tomato seed oil,124.0,1 tbsp (14 ml)
tomato soup,74.0,1 cup (248 g)
tortellini,329.0,1 cup (113 g)
tortilla,467.0,1 tortilla (197 g)
tortilla chips,160.0,20 chips (32 g)
tortilla wrap,171.0,1 wrap (63 g)
tuna,24.0,1 oz. (28.35 g)
tuna pizza,318.0,1 slice (125 g)
turkey,29.0,1 oz. (28.35 g)
turkey hill,190.0,1 sandwich (70 g)
turnip greens,34.0,1 turnip green (170 g)
turnips,34.0,1 turnip (122 g)
upma,240.0,1 bowl
vanilla cone,230.0,1 cone (142 g)
vanilla ice cream,145.0,1 scoop (72 g)
vegetable beef soup,76.0,1 cup (244 g)
vegetable broth,12.0,1 cup (235 g)
vegetable oil,120.0,1 tbsp (15 ml)
vegetable pizza,399.0,1 slice (156 g)
vegetable soup,67.0,1 cup (241 g)
vegetable stock,12.0,1 cup (235 g)
vegetarian pizza,399.0,1 slice (156 g)
veggie burger,389.0,1 burger (215 g)
veggie delight,229.0,1 sandwich (166 g)
veggie patty,963.0,1 sandwich (247 g)
veggie pizza,263.0,1 slice (114 g)
vermicelli,206.0,2 oz. (56 g)
walnut oil,124.0,1 tbsp (14 ml)
wasabi,184.0,1 root (169 g)
watermelon,86.0,1 wedge (286 g)
wedding soup,130.0,1 cup (245 g)
wendy’s baconator,839.0,1 burger (276 g)
wendy’s jr. bacon cheeseburger,420.0,1 burger (161 g)
wendy’s jr. cheeseburger,290.0,1 burger (129 g)
wendy’s son of baconator,700.0,1 burger (218 g)
wheat bran,125.0,1 cup (58 g)
wheat germ,432.0,1 cup (113 g)
wheat germ oil,130.0,1 tbsp (14 ml)
wheat gluten,10.0,1 tsp (3 g)
wheat semolina,601.0,1 cup (167 g)
wheat starch,386.0,1 cup (110 g)
white pizza,571.0,1 slice (232 g)
whole grain noodles,194.0,2 oz. (56 g)
whole grain spaghetti,197.0,2 oz. (56 g)
whole grain wheat,407.0,1 cup (120 g)
wholegrain oat,300.0,1 cup (80 g)
whopper,672.0,1 burger (291 g)
winter squash,147.0,1 squash (431 g)
yorkshire pudding,83.0,1 pudding (15 g)
zinger,517.0,1 sandwich (202 g)
zinger burger,517.0,1 sandwich (202 g)
ziti,197.0,2 oz. (56 g)
zucchini,33.0,1 zucchini (196 g)
